RouteID,Url,Type,TypeZh,RouteName
Y13,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1513&locale=zh_TW,Yellow,黃,黃13
Y14,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1514&locale=zh_TW,Yellow,黃,黃14
Y15,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1515&locale=zh_TW,Yellow,黃,黃15
Y16,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1516&locale=zh_TW,Yellow,黃,黃16
Y20,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1520&locale=zh_TW,Yellow,黃,黃20
Y2-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1717&locale=zh_TW,Yellow,黃,黃2-1
Y6-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1802&locale=zh_TW,Yellow,黃,黃6-1
Y10-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1707&locale=zh_TW,Yellow,黃,黃10-1
Y10-2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1712&locale=zh_TW,Yellow,黃,黃10-2
Y11-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1809&locale=zh_TW,Yellow,黃,黃11-1
Y11-2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1813&locale=zh_TW,Yellow,黃,黃11-2
Y12-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1708&locale=zh_TW,Yellow,黃,黃12-1
Y12-2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1805&locale=zh_TW,Yellow,黃,黃12-2
Y14-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1704&locale=zh_TW,Yellow,黃,黃14-1
Y16-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1815&locale=zh_TW,Yellow,黃,黃16-1
Red,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1600&locale=zh_TW,Red,紅,紅幹線
R1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1601&locale=zh_TW,Red,紅,紅1
R2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1602&locale=zh_TW,Red,紅,紅2
