StationID,BikesCapacity,StationName,StationAddress,PositionLon,PositionLat,GeoHash
501305001,26,民生轉運站,民生路二段416號旁,120.18759,22.99781,wsj6yftgv
501305002,19,海安民族,海安路二段297號前,120.19767,22.99841,wsj6z4tr2
501305003,40,海安正興,海安路二段90號對側,120.19644,22.99461,wsj6z4h3k
501305004,45,赤崁樓,赤嵌街9號(對側人行道),120.20227,22.99752,wsj6z68d7
501305005,20,家庭教育中心,公園路/公園路175巷(西北側),120.20639,22.99715,wsj6z6e85
501305006,40,小西門公園,和意路/永福路一段233巷口(東南側),120.19852,22.9884,wsj6z0vvh
501305007,25,臺南市美術館二館,府前路一段與永福路二段口,120.20049,22.99013,wsj6z1pr4
501305008,40,延平郡王祠,開山路129號(對側人行道),120.20793,22.98844,wsj6z2utr
501305009,30,臺灣文學館,友愛街(臺灣文學館後門),120.20392,22.99111,wsj6z33uf
501305013,20,頂湖公園,湖美二街/西湖街口,120.18189,23.00385,wsj6yg9z1
501305014,20,海安民權,海安路二段193號(對側人行道),120.19705,22.99671,wsj6z4kvd
501305015,20,河樂廣場(金華路),金華路三段/中正路口,120.19335,22.99374,wsj6z1fhh
501305016,16,萬昌街停車場,萬昌街87號(對側),120.21043,22.99115,wsj6z3qt4
501305017,20,臺南生活美學館(府前路),府前路二段/府前一街口,120.18871,22.99219,wsj6ycwep
501305018,20,西湖公園,民權路四段/頂美二街口,120.18458,22.99921,wsj6yfgsp
501305019,25,河樂廣場(康樂街),中正路347號旁,120.19438,22.99327,wsj6z1fcs
501306001,20,臺南都會公園(文華路),臺南都會公園(文華路二段),120.22319,22.93732,wsj6rxxge
501306002,20,臺南都會公園(文賢路),奇美博物館文賢路停車場,120.22868,22.93625,wsj6rz7v7
501306003,42,嘉南藥理大學,嘉南藥理大學(北三機車停車場),120.22728,22.92231,wsj6rufu4
501306004,40,保安轉運站,保安轉運站公車侯車亭旁 (文賢路一段),120.2306,22.9328,wsj6ryv30
501306007,20,衛福部胸腔病院,文心路/中山路口(東南側),120.24154,22.97435,wsjd8nm5q
501309001,20,大興公園,文賢路/大興街口(西南側),120.19377,23.01182,wsj6zj4mt
501309002,37,花園夜市,海安路三段/和緯路三段口(西南側),120.2004,23.01131,wsj6zjp68
501309003,20,和順公園,臨安路二段231號對側,120.20059324732941,23.00399733616001,wsj6z5xru
501309004,40,臺南公園(臺南轉運站),公園路/公園南路口(東北側),120.20932,23.00176,wsj6z7mfb
