RouteID,Url,Type
O13,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1413&locale=zh_TW,Orange
O14,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1414&locale=zh_TW,Orange
O20,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1420&locale=zh_TW,Orange
O21,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1421&locale=zh_TW,Orange
Yellow,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1500&locale=zh_TW,Yellow
Y1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1501&locale=zh_TW,Yellow
Y2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1502&locale=zh_TW,Yellow
Y3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1503&locale=zh_TW,Yellow
Y4,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1504&locale=zh_TW,Yellow
Y5,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1505&locale=zh_TW,Yellow
Y6,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1506&locale=zh_TW,Yellow
Y7,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1507&locale=zh_TW,Yellow
Y9,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1509&locale=zh_TW,Yellow
Y10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1510&locale=zh_TW,Yellow
Y11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1511&locale=zh_TW,Yellow
Y12,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1512&locale=zh_TW,Yellow
Y13,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1513&locale=zh_TW,Yellow
Y14,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1514&locale=zh_TW,Yellow
Y15,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1515&locale=zh_TW,Yellow
Y16,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1516&locale=zh_TW,Yellow
Y20,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1520&locale=zh_TW,Yellow
Y2-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1717&locale=zh_TW,Yellow
Y6-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1802&locale=zh_TW,Yellow
Y10-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1707&locale=zh_TW,Yellow
Y10-2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1712&locale=zh_TW,Yellow
Y11-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1809&locale=zh_TW,Yellow
Y11-2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1813&locale=zh_TW,Yellow
Y12-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1708&locale=zh_TW,Yellow
Y12-2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1805&locale=zh_TW,Yellow
Y14-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1704&locale=zh_TW,Yellow
Y16-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1815&locale=zh_TW,Yellow
Red,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1600&locale=zh_TW,Red
R1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1601&locale=zh_TW,Red
R2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1602&locale=zh_TW,Red
R3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1603&locale=zh_TW,Red
R3-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1801&locale=zh_TW,Red
R4,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1604&locale=zh_TW,Red
R10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1610&locale=zh_TW,Red
R11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1611&locale=zh_TW,Red
R12,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1710&locale=zh_TW,Red
R13,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1613&locale=zh_TW,Red
R14,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1614&locale=zh_TW,Red
UR0-Left,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10450&locale=zh_TW,Urban
UR0-Right,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10451&locale=zh_TW,Urban
UR1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10160&locale=zh_TW,Urban
UR2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10162&locale=zh_TW,Urban
UR3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10163&locale=zh_TW,Urban
UR5,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10164&locale=zh_TW,Urban
UR6,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10165&locale=zh_TW,Urban
UR7,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10166&locale=zh_TW,Urban
UR9,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10167&locale=zh_TW,Urban
UR10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10168&locale=zh_TW,Urban
UR11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10169&locale=zh_TW,Urban
UR14,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10170&locale=zh_TW,Urban
UR15,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10452&locale=zh_TW,Urban
UR18,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10161&locale=zh_TW,Urban
UR19,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10019&locale=zh_TW,Urban
UR20,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10020&locale=zh_TW,Urban
UR21,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=10021&locale=zh_TW,Urban
UR70,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1070&locale=zh_TW,Urban
UR77,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1077&locale=zh_TW,Urban
